-----------------------------------------------
                 ERROR REPORT
-----------------------------------------------

Execution time : 2025-01-31 18:38:18
[2025-01-31 18:38:19] ERROR : GLCONST_CHAR::CPMAX_LOADFILE(), cp_max.bin
[2025-01-31 18:38:19] ERROR : CIniLoader::open(), File Open skill_purchase.ini
[2025-01-31 18:38:19] ERROR : GLSkillPurchase::LoadFile(), File Open D:\chibiran\Data\GLogic\skill_purchase.ini
[2025-01-31 18:38:19] ERROR : GLReborn::LOAD, File Open Reborn.ini
[2025-01-31 18:38:19] ERROR : CIniLoader::open(), File Open map_drop_filter.ini
[2025-01-31 18:40:57] ERROR : TextureManager::LoadTexture() m2_bs_body_manny.dds, E_INVALIDARG
[2025-01-31 18:40:57] ERROR : TextureManager::LoadTexture() m2_bs_gloves_manny.dds, E_INVALIDARG
[2025-01-31 18:40:57] ERROR : TextureManager::LoadTexture() w3_u.dds, E_INVALIDARG
[2025-01-31 19:01:57] ERROR : TextureManager::LoadTexture() m2_bs_body_manny.dds, E_INVALIDARG
[2025-01-31 19:01:57] ERROR : TextureManager::LoadTexture() m2_bs_gloves_manny.dds, E_INVALIDARG
[2025-01-31 19:01:57] ERROR : TextureManager::LoadTexture() w3_u.dds, E_INVALIDARG
[2025-01-31 19:10:06] ERROR : TextureManager::LoadTexture() m2_bs_body_manny.dds, E_INVALIDARG
[2025-01-31 19:10:06] ERROR : TextureManager::LoadTexture() m2_bs_gloves_manny.dds, E_INVALIDARG
[2025-01-31 19:10:06] ERROR : TextureManager::LoadTexture() w3_u.dds, E_INVALIDARG
[2025-01-31 19:16:52] ERROR : TextureManager::LoadTexture() loading_002.dds, E_INVALIDARG
[2025-01-31 19:19:27] ERROR : TextureManager::LoadTexture() m2_bs_body_manny.dds, E_INVALIDARG
[2025-01-31 19:19:27] ERROR : TextureManager::LoadTexture() m2_bs_gloves_manny.dds, E_INVALIDARG
[2025-01-31 19:19:27] ERROR : TextureManager::LoadTexture() w3_u.dds, E_INVALIDARG
[2025-02-01 04:04:34] ERROR : TextureManager::LoadTexture() loading_002.dds, E_INVALIDARG
[2025-02-01 04:04:44] ERROR : TextureManager::LoadTexture() m2_bs_body_manny.dds, E_INVALIDARG
[2025-02-01 04:04:44] ERROR : TextureManager::LoadTexture() m2_bs_gloves_manny.dds, E_INVALIDARG
[2025-02-01 04:04:44] ERROR : TextureManager::LoadTexture() w3_u.dds, E_INVALIDARG
