//Quest List
//	ID	file		quest name
QUEST	0	00001S.qst	//Student's Registration 
QUEST	1	00001H.qst	//Student's Registration 
QUEST	2	00001B.qst	//Student's Registration 
QUEST	3	00004S.qst	//Student's Registration 
QUEST	4	00004H.qst	//Student's Registration 
QUEST	5	00004B.qst	//Student's Registration 
QUEST	6	00007S.qst	//Student's Registration 
QUEST	7	00007H.qst	//Student's Registration 
QUEST	8	00007B.qst	//Student's Registration 
QUEST	9	00010S.qst	//Student's Registration 
QUEST	10	00010H.qst	//Student's Registration 
QUEST	11	00010B.qst	//Student's Registration 
QUEST	12	00015S.qst	//Student Director's Test
QUEST	13	00015H.qst	//Student Director's Test
QUEST	14	00015B.qst	//Student Director's Test
QUEST	15	00016S.qst	//Nurse's Request
QUEST	16	00016H.qst	//Nurse's Request
QUEST	17	00016B.qst	//Nurse's Request
QUEST	18	00022.qst	//The Force Field Authentication
QUEST	19	00020.qst	//The Force Field Authentication
QUEST	20	00021.qst	//The Force Field Authentication
QUEST	21	00023.qst	//The Force Field Authentication
QUEST	22	00024S.qst	//Heading outside the Campus
QUEST	23	00024.qst	//Skill Testing System
QUEST	24	00024H.qst	//Heading outside the Campus
QUEST	25	00024B.qst	//Heading outside the Campus
QUEST	26	00002_1S.qst	//Introduction to New Students
QUEST	27	00003_1S.qst	//Attain Level 5
QUEST	28	00005_1S.qst	//Attain Level 8
QUEST	29	00005_2S.qst	//Attain Level 11
QUEST	30	00018S.qst	//Improvised Medicines
QUEST	31	00018H.qst	//Improvised Medicines
QUEST	32	00018B.qst	//Improvised Medicines
QUEST	33	00019S.qst	//Stolen Bandages
QUEST	34	00019H.qst	//Stolen Bandages
QUEST	35	00019B.qst	//Stolen Bandages
QUEST	36	00017_1S.qst	//Obtain the Special Broom
QUEST	37	00017_2S.qst	//Cleaning the Dormitory
QUEST	38	00017_1H.qst	//Obtain the Special Broom
QUEST	39	00017_2H.qst	//Cleaning the Dormitory
QUEST	40	00017_1B.qst	//Obtain the Special Broom
QUEST	41	00017_2B.qst	//Cleaning the Dormitory
QUEST	42	00005_3S.qst	//Attain Level 14
QUEST	43	00005_4S.qst	//Attain Level 17
QUEST	44	00025.qst	//Purifying Study Classroom Center 1
QUEST	45	00005_5S.qst	//Attain Level 20
QUEST	48	00029.qst	//Purifying Study Classroom Center 2
QUEST	49	00030_S.qst	//학생주임의 호출
QUEST	50	00030_H.qst	//학생주임의 호출
QUEST	51	00030_B.qst	//학생주임의 호출
QUEST	52	00033.qst	//Purifying the History Center
QUEST	56	00037.qst	//Purifying the Library
QUEST	60	00041.qst	//Purifying the Society Room
QUEST	61	155lv_Fighter.qst	//Suspicious Folk Present
QUEST	62	155lv_Archer.qst	//Suspicious Folk Present
QUEST	63	155lv_Medic.qst	//Suspicious Folk Present
QUEST	64	00045.qst	//Clearing the Science Classroom
QUEST	65	155lv_Knight.qst	//Suspicious Folk Present
QUEST	68	00053.qst	//Purifying the Sports Field
QUEST	72	00057.qst	//The Force Field Authentication
QUEST	73	00058.qst	//The Force Field Authentication
QUEST	74	00059.qst	//The Force Field Authentication
QUEST	75	00060.qst	//The Force Field Authentication
QUEST	78	00063.qst	//Purifying the Study Classroom Center 2
QUEST	82	00067.qst	//Purifying the Study Classroom Center 2
QUEST	86	00071.qst	//Purifying the Art Center
QUEST	90	00075.qst	//Purifying the Art Center 2
QUEST	94	00079.qst	//Purifying the Library
QUEST	98	00083.qst	//Purifying the Library 2
QUEST	102	00087.qst	//Purifying the Sports Field
QUEST	106	00091.qst	//Purifying the Students Center 1
QUEST	110	00095.qst	//Purifying the Students Center 1
QUEST	114	00098_1.qst	//Purifying the Main Campus Entrance
QUEST	118	00099.qst	//Force Field authentication
QUEST	119	00100.qst	//The Force Field Authentication
QUEST	120	00101.qst	//Force Field Authentication
QUEST	121	00102.qst	//The Force Field Authentication
QUEST	123	00103.qst	//Finding the Scriptural
QUEST	124	00105.qst	//Purifying the Study Classroom Center 2
QUEST	128	00109.qst	//Purifying the Study Classroom Center 1
QUEST	132	00113.qst	//Purifying the Renovation Center
QUEST	136	00117.qst	//Purifying the Science Center
QUEST	140	00121.qst	//Purifying the Practice Center
QUEST	144	00125.qst	//Purifying the Laboratory
QUEST	148	00129.qst	//Purifying the Auxiliary Supplies Room
QUEST	152	00132_1.qst	//Purifying the Auxiliary Supplies Room
QUEST	156	00132_5.qst	//Purifying the Auxiliary Supplies Room
QUEST	160	00133.qst	//Guard's Request
QUEST	161	00134.qst	//Guard's Request 2
QUEST	162	00135.qst	//Guard's Request 3
QUEST	166	00139.qst	//Bus Driver's Request
QUEST	167	00140.qst	//Bus Driver's Request 2
QUEST	168	00141.qst	//Construction Supervisor's Request
QUEST	172	00146.qst	//The Physics Teacher's Call
QUEST	173	00147.qst	//The Physics Teacher's Test
QUEST	174	00148.qst	//Unverified Currency Notes
QUEST	175	00234.qst	//Issue the Order Books
QUEST	179	00238_1.qst	//Recycling the Map
QUEST	183	00239_1.qst	//Recycling the Unverified Currency Notes 
QUEST	184	00149.qst	//Nurse's Request
QUEST	185	00150.qst	//Nurse's Request 2
QUEST	190	00155.qst	//Cleaner's Request
QUEST	192	00157.qst	//Test by the Technical Teacher 
QUEST	196	00170.qst	//Guard's Request
QUEST	197	00171.qst	//Guard's Request 2
QUEST	198	00172.qst	//Guard's Request 3
QUEST	202	00173.qst	//Bus Driver's Request
QUEST	203	00174.qst	//Bus Driver's Request 2
QUEST	204	00175.qst	//Construction Supervisor's Request
QUEST	208	00180.qst	//The Physics Teacher's Call
QUEST	209	00181.qst	//The Physics Teacher's Test
QUEST	210	00182.qst	//Unverified Currency Notes
QUEST	211	00243.qst	//Issue the Order Books
QUEST	215	00247_1.qst	//Recycling the Map
QUEST	219	00248_1.qst	//Recycling the Unverified Currency Notes 
QUEST	220	00183.qst	//Nurse's Request
QUEST	226	00189.qst	//Cleaner's Request
QUEST	228	00191.qst	//Technical Teacher's Test
QUEST	232	00195.qst	//Eliminate the Hell Scissors
QUEST	236	00199.qst	//Guard's Request
QUEST	237	00200.qst	//Guard's Request 2
QUEST	238	00201.qst	//Guard's Request 3
QUEST	242	00205.qst	//Bus Driver's Request 
QUEST	243	00206.qst	//Bus Driver's Request 2
QUEST	244	00207.qst	//Construction Supervisor's Request
QUEST	248	00212.qst	//The Physics Teacher's Call
QUEST	249	00213.qst	//The Physics Teacher's Test
QUEST	250	00214.qst	//Unverified Currency Notes
QUEST	251	00252.qst	//Issue the Order Books
QUEST	255	00256_1.qst	//Recycling the Map
QUEST	256	00253_S.qst	//신입 등록 기념용 빵 지급
QUEST	257	00253_H.qst	//신입 등록 기념용 빵 지급
